Word,Synonyms
Abandon,"Desert,Forsake,Leave,Quit,Abdicate"
Abate,"Diminish,Decrease,Reduce,Lessen,Subside"
Abhor,"Hate,Detest,Loathe,Despise,Execrate"
Ability,"Capacity,Skill,Talent,Expertise,Proficiency"
Abolish,"Eliminate,Eradicate,Exterminate,Remove,Annul"
Abound,"Thrive,Flourish,Overflow,Teem,Swell"
Abrupt,"Sudden,Unexpected,Hasty,Rapid,Immediate"
Absence,"Lack,Nonexistence,Vacancy,Absoluteness,Void"
Absolute,"Total,Complete,Unconditional,Final,Utter"
Abundant,"Plentiful,Ample,Copious,Bountiful,Lavish"
Abysmal,"Bottomless,Profound,Extreme,Incomprehensible,Terrible"
Accentuate,"Emphasize,Highlight,Stress,Underline,Feature"
Accept,"Approve,Agree,Consent,Allow,Embrace"
Accessible,"Reachable,Attainable,Available,Obtainable,Approachable"
Acclaim,"Praise,Applause,Commendation,Admiration,Recognition"
Accommodate,"Adjust,Adapt,Suit,Fit,Cater"
Accomplish,"Achieve,Attain,Fulfill,Realize,Succeed"
Accurate,"Correct,Precise,Exact,True,Right"
Accuse,"Blame,Charge,Denounce,Censure,Implicate"
Achieve,"Accomplish,Attain,Reach,Realize,Succeed"
Acknowledge,"Admit,Recognize,Confess,Allow,Grant"
Acquire,"Obtain,Get,Procure,Secure,Win"
Active,"Energetic,Dynamic,Vigorous,Lively,Busy"
Adapt,"Adjust,Modify,Alter,Change,Conform"
Adaptable,"Flexible,Versatile,Adjustable,Malleable,Pliable"
Add,"Increase,Augment,Expand,Extend,Enhance"
Adequate,"Sufficient,Enough,Ample,Appropriate,Suitable"
Admire,"Respect,Esteem,Honor,Idolize,Worship"
Admit,"Acknowledge,Allow,Confess,Grant,Recognize"
Adopt,"Embrace,Accept,Follow,Take on,Espouse"
Adore,"Love,Cherish,Worship,Idolize,Prize"
Advance,"Progress,Develop,Evolve,Improve,Upgrade"
Advantage,"Benefit,Gain,Profit,Edge,Merit"
Adventure,"Risk,Hazard,Peril,Quest,Expedition"
Adversary,"Enemy,Foe,Opponent,Rival,Competitor"
Adverse,"Negative,Unfavorable,Hostile,Contrary,Antagonistic"
Advocate,"Supporter,Champion,Defender,Backer,Promoter"
Aesthetic,"Artistic,Beautiful,Stylish,Creative,Elegant"
Affable,"Friendly,Amiable,Sociable,Genial,Cordial"
Affection,"Love,Fondness,Devotion,Adoration,Emotion"
Affluent,"Wealthy,Rich,Prosperous,Opulent,Well-to-do"
Agile,"Nimble,Quick,Spry"
Agitate,"Stir,Shake,Disturb,Upset,Rouse"
Agony,"Pain,Suffering,Torment,Distress,Anguish"
Agreeable,"Pleasant,Nice,Enjoyable,Appealing,Amiable"
Ailment,"Illness,Disease,Disorder,Malady,Sickness"
Aim,"Goal,Objective,Target,Purpose,Intention"
Alert,"Vigilant,Watchful,Attentive,Observant,Alerted"
Alienate,"Estrange,Distance,Separate,isolate,Disaffect"
Alive,"Living,Existing,Surviving,Animated,Active"
Allay,"Calm,Soothe,Mitigate,Relieve,Alleviate"
Allegiance,"Loyalty,Devotion,Commitment,Fidelity,Faithfulness"
Allocate,"Assign,Allot,Distribute,Apportion,Share"
Allow,"Permit,Authorize,Enable,Entitle,Consent"
Ally,"Associate,Partner,Friend,Companion,Colleague"
Alter,"Change,Modify,Revise,Transform,Adjust"
Altruistic,"Selfless,Charitable,Philanthropic,Generous,Benevolent"
Always,"Forever,Ever,Perpetually,Continuously,Eternally"
Amaze,"Astonish,Surprise,Startle,Stun,Bewilder"
Ambitious,"Aspiring,Determined,Driven,Enterprising,Eager"
Ameliorate,"Improve,Better,Enhance,Refine,Elevate"
